make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price
BMW,X3,2015.0,SUV,194382.0,5.0,5.0,Maro,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,15990.0
Volvo,XC 60,2015.0,SUV,122822.0,5.0,5.0,Albastru,Diesel,2400.0,181.0,Automata,4x4 (automat),Euro 5,14000.0
Mercedes-Benz,B,2005.0,Monovolum,249000.0,5.0,5.0,Albastru,Diesel,1991.0,140.0,Manuala,Fata,Euro 4,3000.0
Peugeot,508,2012.0,Sedan,212000.0,4.0,5.0,Negru,Hibrid,1997.0,163.0,Automata,4x4 (automat),Euro 6,7400.0
Hyundai,Tucson,2021.0,SUV,44000.0,5.0,5.0,Gri,Hibrid Plug-In,1598.0,265.0,Automata,4x4 (automat),Euro 6,26607.9
Audi,A6,2022.0,Sedan,140558.0,5.0,5.0,Alb,Hibrid Plug-In,1984.0,367.0,Automata,4x4 (automat),Euro 6,41899.88
Volvo,XC 60,2022.0,SUV,106400.0,5.0,5.0,Gri,Hibrid Plug-In,1969.0,455.0,Automata,4x4 (automat),Euro 6,44757.9
Volkswagen,Tiguan,2012.0,SUV,182000.0,5.0,5.0,Albastru,Benzina,1390.0,122.0,Manuala,Fata,Euro 5,7999.0
Volvo,XC 90,2020.0,SUV,190783.0,5.0,7.0,Negru,Hibrid Plug-In,1969.0,408.0,Automata,4x4 (manual),Euro 6d-Temp,36999.0
BMW,X1,2022.0,SUV,101100.0,5.0,5.0,Gri,Hibrid Plug-In,1499.0,220.0,Automata,4x4 (automat),Euro 6,23691.8
BMW,Seria 3,2021.0,Sedan,113832.0,4.0,5.0,Argint,Hibrid Plug-In,1998.0,292.0,Automata,Spate,Euro 6,24900.0
Volvo,XC 90,2020.0,SUV,147688.0,5.0,5.0,Gri,Diesel,1969.0,235.0,Automata,4x4 (automat),Euro 6,39917.9
Ford,Kuga,2020.0,SUV,182028.0,5.0,5.0,Gri,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6d-Temp,16199.01
Hyundai,Tucson,2021.0,SUV,145623.0,5.0,5.0,Gri,Diesel,1598.0,136.0,Automata,Fata,Euro 6,19989.2
BMW,X6,2013.0,SUV,138000.0,5.0,4.0,Alb,Benzina,4395.0,407.0,Automata,4x4 (automat),Euro 4,22977.9
Audi,A7,2021.0,Sedan,101898.0,5.0,5.0,Albastru,Diesel,2967.0,286.0,Automata,4x4 (automat),Euro 6,52017.9
Toyota,RAV4,2021.0,SUV,111266.0,5.0,5.0,Alb,Hibrid Plug-In,2487.0,306.0,Automata,4x4 (automat),Euro 6d,35999.92
Mitsubishi,Outlander,2016.0,SUV,173000.0,5.0,5.0,Negru,Hibrid Plug-In,1998.0,121.0,Automata,4x4 (manual),Euro 6,13999.0
MG,EHS,2023.0,SUV,66667.0,5.0,5.0,Alb,Hibrid Plug-In,1490.0,258.0,Automata,Fata,Euro 6d-Temp,19250.0
Toyota,C-HR,2019.0,SUV,145000.0,5.0,2.0,Gri,Hibrid,1798.0,122.0,Automata,Fata,Euro 6,17298.16
BMW,Seria 5,2021.0,Sedan,139364.0,4.0,5.0,Negru,Benzina,1998.0,184.0,Automata,Spate,Euro 6,33969.54
Mercedes-Benz,Vito,2019.0,Monovolum,60000.0,4.0,8.0,Alb,Diesel,2143.0,136.0,Manuala,Spate,Euro 6c,29027.9
Mercedes-Benz,E,2018.0,Coupe,140013.0,3.0,4.0,Verde,Diesel,1950.0,194.0,Automata,Spate,Euro 6,25990.0
Opel,Astra,2010.0,Compacta,138000.0,5.0,5.0,Argint,Benzina,1598.0,115.0,Manuala,Fata,Euro 5,4499.0
BMW,Seria 5,2022.0,Sedan,154130.0,4.0,5.0,Negru,Hibrid Plug-In,1998.0,292.0,Automata,4x4 (automat),Euro 6,29970.0
Nissan,Qashqai,2024.0,SUV,87400.0,5.0,5.0,Negru,Benzina,1332.0,140.0,Manuala,Fata,Euro 6,19990.41
Volkswagen,ARTEON,2022.0,Sedan,150000.0,5.0,5.0,Gri,Diesel,1968.0,150.0,Automata,Fata,Euro 6,27487.57
Mercedes-Benz,GLS,2025.0,SUV,9982.0,5.0,7.0,Negru,Benzina,2999.0,381.0,Automata,4x4 (manual),Euro 6d-Temp,114799.96
Mercedes-Benz,C,2021.0,Sedan,124658.0,4.0,5.0,Negru,Benzina,1496.0,204.0,Automata,4x4 (automat),Euro 6,29990.0
Peugeot,308,2023.0,Combi,103371.0,5.0,5.0,Negru,Benzina,1199.0,130.0,Automata,Fata,Euro 6,16790.0
BMW,X7,2019.0,SUV,201255.0,5.0,6.0,Albastru,Diesel,2993.0,265.0,Automata,4x4 (automat),Euro 6,45500.0
Hyundai,Santa Fe,2022.0,SUV,96700.0,5.0,5.0,Gri,Hibrid Plug-In,1598.0,252.0,Automata,4x4 (automat),Euro 6d-Temp,33988.9
Volkswagen,Tiguan,2020.0,SUV,70079.0,5.0,5.0,Alb,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6d-Temp,25990.8
Mercedes-Benz,Vito,2017.0,Monovolum,289000.0,4.0,8.0,Negru,Diesel,2143.0,190.0,Automata,Spate,Euro 6,25650.0
BMW,X2,2019.0,SUV,158000.0,5.0,5.0,Negru,Diesel,1995.0,190.0,Automata,4x4 (automat),Euro 6,19980.0
Skoda,Fabia,2021.0,Combi,187000.0,5.0,5.0,Alb,Benzina,999.0,95.0,Manuala,Fata,Euro 6b,8445.8
Audi,Q3,2016.0,SUV,234669.0,5.0,5.0,Alb,Diesel,1968.0,150.0,Automata,4x4 (automat),Euro 6,13990.0
