make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,apple_carplay,android_auto,bluetooth,wireless_charging,navigation,internet,usb_port,head_up_display,ac,climatronic,climatronic_2zone,climatronic_3zone,climatronic_4zone,panoramic_roof,electric_sunroof,manual_sunroof,rear_glass_sunroof,upholstery_alcantara,upholstery_leather_mix,upholstery_leather,upholstery_fabric,electric_driver_seat,heated_driver_seat,heated_passenger_seat,ventilated_front_seats,ventilated_rear_seats,memory_seat,front_armrest,sport_steering_wheel,paddle_shifters,keyless_entry,keyless_go,heated_windshield,air_suspension,sport_suspension,predictive_acc,cruise_control,adaptive_cruise,bi_xenon,laser_lights,led_lights,xenon,dynamic_lights,follow_me_home,front_park_sensors,rear_park_sensors,park_assist,auto_park,camera_360,rear_camera,folding_mirrors,blind_spot,lane_assist,distance_control,autonomous_driving,isofix,equipment_count,is_well_equipped,equipment_tier
Fiat,Panda,2013,Masina de oras,154765,5.0,5.0,Negru,Benzina,875,65,Manuala,Fata,Euro 5b,3990.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,basic
Seat,Leon,2008,Compacta,164500,5.0,5.0,Gri,Benzina,1984,240,Manuala,Fata,Euro 4,6400.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,7,1,standard
Mercedes-Benz,GLC,2020,SUV,163000,5.0,5.0,Alb,Hibrid Plug-In,1991,319,Automata,4x4 (automat),Euro 6,30371.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,14,1,premium
Opel,Vectra,2008,Sedan,198500,5.0,5.0,Albastru,Diesel,1910,150,Manuala,Fata,Euro 4,2800.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,standard
MG,HS,2024,SUV,24496,5.0,5.0,Alb,Benzina,1490,162,Automata,Fata,Euro 6d-Temp,18950.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,15,1,ultra
Suzuki,SX4,2016,SUV,146727,5.0,5.0,Alb,Benzina + GPL,1586,120,Manuala,Fata,Euro 6,6900.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,basic
Opel,Corsa,2010,Masina de oras,86000,5.0,5.0,Alb,Benzina,1229,86,Manuala,Fata,Euro 5,3000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,basic
Toyota,RAV4,2022,SUV,96873,5.0,5.0,Gri,Hibrid,2487,218,Automata,Fata,Euro 6,27990.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,9,1,standard
Jaguar,F-Pace,2020,SUV,150794,5.0,5.0,Gri,Benzina,1997,250,Automata,4x4 (automat),Euro 6c,22990.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,14,1,premium
BMW,Seria 2,2016,Monovolum,180000,5.0,5.0,Negru,Hibrid,1499,224,Automata,4x4 (automat),Euro 6,11990.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,standard
Lexus,Seria NX,2019,SUV,104800,5.0,5.0,Alb,Hibrid,2494,197,Automata,4x4 (automat),Euro 6,28990.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,1,standard
Renault,Scenic,2012,Monovolum,197000,5.0,5.0,Argint,Diesel,1461,110,Manuala,Fata,Euro 5b,4800.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,1,standard
Peugeot,3008,2018,SUV,155000,5.0,5.0,Gri,Diesel,1997,180,Automata,Fata,Euro 6,16700.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,14,1,premium
Ford,Focus,2021,Compacta,72423,5.0,5.0,Rosu,Diesel,1499,120,Manuala,Fata,Euro 6d,11790.24,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,12,1,premium
Volkswagen,Touareg,2019,SUV,176000,5.0,5.0,Gri,Diesel,2967,286,Automata,4x4 (automat),Euro 6,41950.0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,19,1,ultra
