make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,url
BMW,X3,2015,SUV,194 382 km,5,5,Maro,Diesel,1 995 cm3,190 CP,Automata,4x4 (automat),Euro 6,15 990,https://www.autovit.ro/autoturisme/anunt/bmw-x3-ver-xdrive20d-aut-m-sport-edition-ID7HJ5WC.html
Volvo,XC 60,2015,SUV,122 822 km,5,5,Albastru,Diesel,2 400 cm3,181 CP,Automata,4x4 (automat),Euro 5,14 000,https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ID7HHWAv.html
Mercedes-Benz,B,2005,Monovolum,249 000 km,5,5,Albastru,Diesel,1 991 cm3,140 CP,Manuala,Fata,Euro 4,3 000,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-b-ver-200-cdi-ID7HJ6ix.html
Peugeot,508,2012,Sedan,212 000 km,4,5,Negru,Hibrid,1 997 cm3,163 CP,Automata,4x4 (automat),Euro 6,7 400,https://www.autovit.ro/autoturisme/anunt/peugeot-508-ver-hybrid-2-0-hdi-163cp-plus-37cp-electric-allure-ID7HBQ1p.html
Hyundai,Tucson,2021,SUV,44 000 km,5,5,Gri,Hibrid Plug-In,1 598 cm3,265 CP,Automata,4x4 (automat),Euro 6,"26 607,90",https://www.autovit.ro/autoturisme/anunt/hyundai-tucson-ver-1-6-t-gdi-plug-in-hybrid-4wd-trend-ID7HBRgm.html
Audi,A6,2022,Sedan,140 558 km,5,5,Alb,Hibrid Plug-In,1 984 cm3,367 CP,Automata,4x4 (automat),Euro 6,"41 899,88",https://www.autovit.ro/autoturisme/anunt/audi-a6-ID7HGJ7h.html
Volvo,XC 60,2022,SUV,106 400 km,5,5,Gri,Hibrid Plug-In,1 969 cm3,455 CP,Automata,4x4 (automat),Euro 6,"44 757,90",https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-ver-recharge-t8-twin-engine-eawd-inscription-ID7HGJLO.html
Volkswagen,Tiguan,2012,SUV,182 000 km,5,5,Albastru,Benzina,1 390 cm3,122 CP,Manuala,Fata,Euro 5,7 999,https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-ver-1-4-tsi-bluemotion-technology-freestyle-ID7HJ6hX.html
Volvo,XC 90,2020,SUV,190 783 km,5,7,Negru,Hibrid Plug-In,1 969 cm3,408 CP,Automata,4x4 (manual),Euro 6d-Temp,36 999,https://www.autovit.ro/autoturisme/anunt/volvo-xc-90-ver-t8-awd-twin-engine-geartronic-inscription-ID7HHXiv.html
BMW,X1,2022,SUV,101 100 km,5,5,Gri,Hibrid Plug-In,1 499 cm3,220 CP,Automata,4x4 (automat),Euro 6,"23 691,80",https://www.autovit.ro/autoturisme/anunt/bmw-x1-ver-xdrive25e-advantage-ID7HGJNe.html
BMW,Seria 3,2021,Sedan,113 832 km,4,5,Argint,Hibrid Plug-In,1 998 cm3,292 CP,Automata,Spate,Euro 6,24 900,https://www.autovit.ro/autoturisme/anunt/bmw-seria-3-ver-330e-aut-advantage-ID7HGJTx.html
Volvo,XC 90,2020,SUV,147 688 km,5,5,Gri,Diesel,1 969 cm3,235 CP,Automata,4x4 (automat),Euro 6,"39 917,90",https://www.autovit.ro/autoturisme/anunt/volvo-xc-90-ver-b5-d-awd-geartronic-inscription-ID7HEa9J.html
Ford,Kuga,2020,SUV,182 028 km,5,5,Gri,Diesel,1 995 cm3,190 CP,Automata,4x4 (automat),Euro 6d-Temp,"16 199,01",https://www.autovit.ro/autoturisme/anunt/ford-kuga-ver-2-0-ecoblue-4x4-aut-titanium-ID7HHXl1.html
Hyundai,Tucson,2021,SUV,145 623 km,5,5,Gri,Diesel,1 598 cm3,136 CP,Automata,Fata,Euro 6,"19 989,20",https://www.autovit.ro/autoturisme/anunt/hyundai-tucson-ver-1-6-crdi-48v-hybrid-2wd-dct-trend-ID7HEpid.html
BMW,X6,2013,SUV,138 000 km,5,4,Alb,Benzina,4 395 cm3,407 CP,Automata,4x4 (automat),Euro 4,"22 977,90",https://www.autovit.ro/autoturisme/anunt/bmw-x6-ver-xdrive50i-ID7HFttF.html
Audi,A7,2021,Sedan,101 898 km,5,5,Albastru,Diesel,2 967 cm3,286 CP,Automata,4x4 (automat),Euro 6,"52 017,90",https://www.autovit.ro/autoturisme/anunt/audi-a7-ver-50-tdi-quattro-tiptronic-mhev-ID7HEhCQ.html
Toyota,RAV4,2021,SUV,111 266 km,5,5,Alb,Hibrid Plug-In,2 487 cm3,306 CP,Automata,4x4 (automat),Euro 6d,"35 999,92",https://www.autovit.ro/autoturisme/anunt/toyota-rav-4-ver-2-5-phev-vvt-ie-4x4-style-ID7HJ5c6.html
Mitsubishi,Outlander,2016,SUV,173 000 km,5,5,Negru,Hibrid Plug-In,1 998 cm3,121 CP,Automata,4x4 (manual),Euro 6,13 999,https://www.autovit.ro/autoturisme/anunt/mitsubishi-outlander-ver-2-0-4wd-plug-in-hybrid-plus-ID7HHVFv.html
MG,EHS,2023,SUV,66 667 km,5,5,Alb,Hibrid Plug-In,1 490 cm3,258 CP,Automata,Fata,Euro 6d-Temp,19 250,https://www.autovit.ro/autoturisme/anunt/mg-ehs-ID7HJ6bE.html
Toyota,C-HR,2019,SUV,145 000 km,5,2,Gri,Hibrid,1 798 cm3,122 CP,Automata,Fata,Euro 6,"17 298,16",https://www.autovit.ro/autoturisme/anunt/toyota-c-hr-ver-hybrid-club-ID7HJ6kq.html
BMW,Seria 5,2021,Sedan,139 364 km,4,5,Negru,Benzina,1 998 cm3,184 CP,Automata,Spate,Euro 6,"33 969,54",https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ver-520i-aut-m-sport-edition-ID7HGJg0.html
Mercedes-Benz,Vito,2019,Monovolum,60 000 km,4,8,Alb,Diesel,2 143 cm3,136 CP,Manuala,Spate,Euro 6c,"29 027,90",https://www.autovit.ro/autoturisme/anunt/mercedes-benz-vito-ver-114-cdi-bluetec-tourer-extralang-pro-ID7Hx5Ak.html
Mercedes-Benz,E,2018,Coupe,140 013 km,3,4,Verde,Diesel,1 950 cm3,194 CP,Automata,Spate,Euro 6,25 990,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-e-ver-220-d-coupe-aut-ID7Hy6zr.html
Opel,Astra,2010,Compacta,138 000 km,5,5,Argint,Benzina,1 598 cm3,115 CP,Manuala,Fata,Euro 5,4 499,https://www.autovit.ro/autoturisme/anunt/opel-astra-ver-1-6-ID7HGJuE.html
BMW,Seria 5,2022,Sedan,154 130 km,4,5,Negru,Hibrid Plug-In,1 998 cm3,292 CP,Automata,4x4 (automat),Euro 6,29 970,https://www.autovit.ro/autoturisme/anunt/bmw-seria-5-ver-530e-xdrive-at-phev-ID7HJ6eO.html
Nissan,Qashqai,2024,SUV,87 400 km,5,5,Negru,Benzina,1 332 cm3,140 CP,Manuala,Fata,Euro 6,"19 990,41",https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ver-1-3-dig-t-mhev-n-connecta-ID7HJ6i7.html
