make,model,year,body_type,mileage,door_count,nr_seats,color,fuel_type,engine_capacity,engine_power,gearbox,transmission,pollution_standard,price,apple_carplay,android_auto,bluetooth,wireless_charging,navigation,internet,usb_port,head_up_display,ac,climatronic,climatronic_2zone,climatronic_3zone,climatronic_4zone,panoramic_roof,electric_sunroof,manual_sunroof,rear_glass_sunroof,upholstery_alcantara,upholstery_leather_mix,upholstery_leather,upholstery_fabric,electric_driver_seat,heated_driver_seat,heated_passenger_seat,ventilated_front_seats,ventilated_rear_seats,memory_seat,front_armrest,sport_steering_wheel,paddle_shifters,keyless_entry,keyless_go,heated_windshield,air_suspension,sport_suspension,predictive_acc,cruise_control,adaptive_cruise,bi_xenon,laser_lights,led_lights,xenon,dynamic_lights,follow_me_home,front_park_sensors,rear_park_sensors,park_assist,auto_park,camera_360,rear_camera,folding_mirrors,blind_spot,lane_assist,distance_control,autonomous_driving,isofix,url
Renault,Scenic,2008,Compacta,87 000 km,5,5,Gri,Benzina,1 998 cm3,135 CP,Automata,,Euro 4,3699,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/renault-scenic-ID7HLPd1.html
Volkswagen,Touran,2008,Monovolum,178 400 km,5,,Argint,Diesel,1 896 cm3,105 CP,Manuala,Fata,,3400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/volkswagen-touran-ver-1-9-tdi-highline-ID7HMSgm.html
Mercedes-Benz,A 180,2007,Coupe,167 500 km,5,,Negru,Diesel,1 991 cm3,109 CP,Manuala,Fata,,1400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-180-ver-cdi-ID7HMSe2.html
BMW,i4,2023,Sedan,3 500 km,5,5,Gri,Electric,,286 CP,Automata,Spate,,39950,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/bmw-i4-ID7HLOIb.html
Mercedes-Benz,CLK,2005,Coupe,164 500 km,2,,Argint,Benzina,3 498 cm3,272 CP,Automata,Spate,,3500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-clk-ver-350-7g-tronic-avantgarde-sport-edition-ID7HMQIb.html
Fiat,Panda,2013,Masina de oras,154 765 km,5,5,Negru,Benzina,875 cm3,65 CP,Manuala,Fata,Euro 5b,3990,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/fiat-panda-ID7HiffX.html
Seat,Leon,2008,Compacta,164 500 km,5,5,Gri,Benzina,1 984 cm3,240 CP,Manuala,Fata,Euro 4,6400,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/seat-leon-ver-2-0-t-fsi-cupra-ID7HMSuv.html
Nissan,Micra,2001,Masina de oras,90 200 km,5,,Alb,Benzina + GPL,1 348 cm3,82 CP,Automata,Fata,,6500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autovit.ro/autoturisme/anunt/nissan-micra-ID7HMQE8.html
Mercedes-Benz,GLC,2020,SUV,163 000 km,5,5,Alb,Hibrid Plug-In,1 991 cm3,319 CP,Automata,4x4 (automat),Euro 6,30371,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/mercedes-benz-glc-ver-300-e-4matic-9g-tronic-ID7HLU1g.html
Opel,Vectra,2008,Sedan,198 500 km,5,5,Albastru,Diesel,1 910 cm3,150 CP,Manuala,Fata,Euro 4,2800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autovit.ro/autoturisme/anunt/opel-vectra-ver-1-9-cdti-cosmo-ID7HMSUh.html
